"作者","Author full names","作者 ID","文献标题","年份","来源出版物名称","卷","期","论文编号","起始页码","结束页码","页码计数","施引文献","DOI","链接","归属机构","带归属机构的作者","摘要","作者关键字","索引关键字","文献类型","出版阶段","开放获取","来源出版物"
"Ghaheri A.; Afjei E.; Torkaman H.","Ghaheri, Aghil (57203714762); Afjei, Ebrahim (7801391622); Torkaman, Hossein (23502347500)","57203714762; 7801391622; 23502347500","A novel axial air-gap transverse flux switching PM generator: Design, simulation and prototyping","2023","IET Electric Power Applications","17","4","","452","463","11","1","10.1049/elp2.12277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144083724&doi=10.1049%2felp2.12277&partnerID=40&md5=ccfb50911ec8fee121c0f2957ff38138","Faculty of Electrical Engineering, Shahid Beheshti University, Tehran, Iran","Ghaheri A., Faculty of Electrical Engineering, Shahid Beheshti University, Tehran, Iran; Afjei E., Faculty of Electrical Engineering, Shahid Beheshti University, Tehran, Iran; Torkaman H., Faculty of Electrical Engineering, Shahid Beheshti University, Tehran, Iran","Wind energy as the cleanest source of renewable energy requires a highly efficient lightweight generator that provides maximum power density while having the least vibration noise and maintenance. In this study, an axial air gap transverse flux machine is presented, and all excitation sources are located in the stator. This structure provides lower core loss, weight and cost due to the full utilisation of the permanent magnets, SMC-free structure and short magnetic flux path. In fact, by combining the features of a flux-switching machine into a transverse flux generator with an axial air gap, it is possible to improve the performance of a direct-drive wind turbine generator by overcoming traditional structures' challenges. To analyse the axial transverse flux switching permanent magnet generator performance characteristics, 3D finite element simulations have been performed, which have been validated by comparing them to the practical results of a single-phase prototype. The results are in agreement with an acceptable error that is caused by manufacturing uncertainties. © 2022 The Authors. IET Electric Power Applications published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology.","AC machines; AC motor drives; AC motors; AC-AC power convertors; AC-DC power convertors; brushless machines; choppers (circuits); DC motors; DC-AC power convertors; DC-DC power convertors; electric generators; electric machines; electromagnetic devices; fault diagnosis; finite element analysis; invertors; magnetic circuits; magnetic gears; motor drives; reluctance machines; wind turbines","AC motors; Brushless DC motors; Choppers (circuits); DC-DC converters; Electric drives; Electric machine control; Magnetic circuits; Permanent magnets; Synchronous generators; Timing circuits; Turbogenerators; Wind power; Wind Turbine Generators; AC machine; AC motors drive; AC-DC power convertor; Brushless machines; Chopper (circuit); D.C. motors; DC-AC power convertor; DC-DC power convertor; Electromagnetic devices; Faults diagnosis; Finite element analyse; Invertor; Magnetic gear; Motor drive; Power convertors; Reluctance machines; Finite element method","Article","Final","All Open Access; Gold Open Access","Scopus"
"Zhu X.; Yang D.; Pan H.; Karimi H.R.; Ozevin D.; Cetin A.E.","Zhu, Xin (57286508800); Yang, Daoguang (57218824643); Pan, Hongyi (57216394593); Karimi, Hamid Reza (55534323600); Ozevin, Didem (6506389055); Cetin, Ahmet Enis (57197548971)","57286508800; 57218824643; 57216394593; 55534323600; 6506389055; 57197548971","A novel asymmetrical autoencoder with a sparsifying discrete cosine Stockwell transform layer for gearbox sensor data compression","2024","Engineering Applications of Artificial Intelligence","127","","107322","","","","0","10.1016/j.engappai.2023.107322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175173295&doi=10.1016%2fj.engappai.2023.107322&partnerID=40&md5=828f9dd35461cb2747ff94bdfe2b99da","Department of Electrical and Computer Engineering, University of Illinois Chicago, Chicago, United States; Civil, Materials and Environmental Engineering, University of Illinois Chicago, Chicago, United States; Department of Mechnical Engineering, Politecnico di Milano, Milan, Italy","Zhu X., Department of Electrical and Computer Engineering, University of Illinois Chicago, Chicago, United States; Yang D., Department of Mechnical Engineering, Politecnico di Milano, Milan, Italy; Pan H., Department of Electrical and Computer Engineering, University of Illinois Chicago, Chicago, United States; Karimi H.R., Department of Mechnical Engineering, Politecnico di Milano, Milan, Italy; Ozevin D., Civil, Materials and Environmental Engineering, University of Illinois Chicago, Chicago, United States; Cetin A.E., Department of Electrical and Computer Engineering, University of Illinois Chicago, Chicago, United States","The lack of an efficient compression model remains a challenge for the wireless transmission of gearbox data in non-contact gear fault diagnosis problems. In this paper, we present a signal-adaptive asymmetrical autoencoder with a transform domain layer to compress sensor signals. First, a new discrete cosine Stockwell transform (DCST) layer is introduced to replace linear layers in a multi-layer autoencoder. A trainable filter is implemented in the DCST domain by utilizing the multiplication property of the convolution. A trainable hard-thresholding layer is applied to reduce redundant data in the DCST layer to make the feature map sparse. In comparison to the linear layer, the DCST layer reduces the number of trainable parameters and improves the accuracy of data reconstruction. Second, training the autoencoder with a sparsifying DCST layer only requires a small number of datasets. The proposed method is superior to other autoencoder-based methods on the University of Connecticut (UoC) and Southeast University (SEU) gearbox datasets, as the average quality score is improved by 2.00% at the lowest and 32.35% at the highest with a limited number of training samples. © 2023 Elsevier Ltd","Autoencoder; Discrete cosine stockwell transform; Gearbox sensor data compression; Limited samples; Transform domain layer","Data reduction; Discrete cosine transforms; Gears; Learning systems; Auto encoders; Compression model; Discrete cosine stockwell transform; Discrete cosines; Gearbox sensor data compression; Limited sample; Sensors data; Stockwell transform; Transform domain; Transform domain layer; Data compression","Article","Final","","Scopus"
"Gu X.; Xie Y.; Tian Y.; Liu T.","Gu, Xiaojiao (56723261100); Xie, Yuntao (58220395500); Tian, Yang (34873830800); Liu, Tianshun (58221477100)","56723261100; 58220395500; 34873830800; 58221477100","A Lightweight Neural Network Based on GAF and ECA for Bearing Fault Diagnosis","2023","Metals","13","4","822","","","","1","10.3390/met13040822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156106189&doi=10.3390%2fmet13040822&partnerID=40&md5=03ab5a5bc39799c776ed3fc3de5d3a81","College of Mechanical Engineering, Shenyang Ligong University, Nanping Middle Road 6, Shenyang, 110159, China","Gu X., College of Mechanical Engineering, Shenyang Ligong University, Nanping Middle Road 6, Shenyang, 110159, China; Xie Y., College of Mechanical Engineering, Shenyang Ligong University, Nanping Middle Road 6, Shenyang, 110159, China; Tian Y., College of Mechanical Engineering, Shenyang Ligong University, Nanping Middle Road 6, Shenyang, 110159, China; Liu T., College of Mechanical Engineering, Shenyang Ligong University, Nanping Middle Road 6, Shenyang, 110159, China","A lightweight neural network fault diagnosis method based on Gramian angular field (GAF) feature map construction and efficient channel attention (ECA) optimization is presented herein to address the problem of the complex structure of traditional neural networks in bearing fault diagnosis. Firstly, a GAF is used to encode vibration signals into a temporal image. Secondly, the double-layer separation residual convolution neural network (DRCNN) is used to learn advanced features of the sample. The multi-branch structure is used as the receiving domain. ECA learns the correlation between feature channels. The extracted feature channels are adaptively weighted by adding a small additional computational cost. Finally, the method is tested and evaluated using wind turbine bearing data. The experimental results show that, compared with the traditional neural network, the DRCNN model based on GAF achieves higher diagnostic accuracy with less parameter calculation. © 2023 by the authors.","efficient channel attention; fault diagnosis; Gramian angular field; machine learning; neural network","","Article","Final","All Open Access; Gold Open Access","Scopus"
"Zheng X.; Chen L.; Yu C.; Lei Z.; Feng Z.; Wei Z.","Zheng, Xiaoyang (25121589700); Chen, Lei (58697795200); Yu, Chengbo (12647192300); Lei, Zijian (57986730900); Feng, Zhixia (58697529300); Wei, Zhengyuan (23494166300)","25121589700; 58697795200; 12647192300; 57986730900; 58697529300; 23494166300","Gearbox Compound Fault Diagnosis in Edge-IoT Based on Legendre Multiwavelet Transform and Convolutional Neural Network","2023","Sensors (Basel, Switzerland)","23","21","","","","","0","10.3390/s23218669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176884645&doi=10.3390%2fs23218669&partnerID=40&md5=59a1fbd00ed4f315af1948a32c10f53c","School of Artificial Intelligence, Chongqing University of Technology, Chongqing 401135, China; School of Electronic and Automation, Chongqing University of Technology, 400054, Chongqing, China; School of Science, Chongqing University of Technology, 400054, Chongqing, China","Zheng X., School of Artificial Intelligence, Chongqing University of Technology, Chongqing 401135, China; Chen L., School of Artificial Intelligence, Chongqing University of Technology, Chongqing 401135, China; Yu C., School of Electronic and Automation, Chongqing University of Technology, 400054, Chongqing, China; Lei Z., School of Artificial Intelligence, Chongqing University of Technology, Chongqing 401135, China; Feng Z., School of Artificial Intelligence, Chongqing University of Technology, Chongqing 401135, China; Wei Z., School of Science, Chongqing University of Technology, 400054, Chongqing, China","The application of edge computing combined with the Internet of Things (edge-IoT) has been rapidly developed. It is of great significance to develop a lightweight network for gearbox compound fault diagnosis in the edge-IoT context. The goal of this paper is to devise a novel and high-accuracy lightweight neural network based on Legendre multiwavelet transform and multi-channel convolutional neural network (LMWT-MCNN) to fast recognize various compound fault categories of gearbox. The contributions of this paper mainly lie in three aspects: The feature images are designed based on the LMWT frequency domain and they are easily implemented in the MCNN model to effectively avoid noise interference. The proposed lightweight model only consists of three convolutional layers and three pooling layers to further extract the most valuable fault features without any artificial feature extraction. In a fully connected layer, the specific fault type of rotating machinery is identified by the multi-label method. This paper provides a promising technique for rotating machinery fault diagnosis in real applications based on edge-IoT, which can largely reduce labor costs. Finally, the PHM 2009 gearbox and Paderborn University bearing compound fault datasets are used to verify the effectiveness and robustness of the proposed method. The experimental results demonstrate that the proposed lightweight network is able to reliably identify the compound fault categories with the highest accuracy under the strong noise environment compared with the existing methods.","compound fault diagnosis; convolutional neural network; edge-IoT; gearbox; Legendre multiwavelet transform","article; controlled study; convolutional neural network; diagnosis; feature extraction; human; human tissue; internet of things; nerve cell network; noise","Article","Final","All Open Access; Gold Open Access","Scopus"
"Wang Y.; Chen G.; He C.; Hao T.; Ma J.","Wang, Yuwei (57221508228); Chen, Guo (35783890300); He, Chao (57219930896); Hao, Tengfei (55348901000); Ma, Jiali (58524619100)","57221508228; 35783890300; 57219930896; 55348901000; 58524619100","Intelligent Recognition of Wear Particle Images in Scanning Electron Microscope Based on Improved YOLOv4; [基于改进YOLOv4的扫描电镜磨粒图像智能识别]","2023","Mocaxue Xuebao/Tribology","43","7","","809","820","11","0","10.16078/j.tribology.2022062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166972869&doi=10.16078%2fj.tribology.2022062&partnerID=40&md5=c64b3dad84085844971cac13f3047931","College of Civil Aviation, Nanjing University of Aeronautics and Astronautics, Jiangsu, Nanjing, 210016, China; College of General Aviation and Flight, Nanjing University of Aeronautics and Astronautics, Jiangsu, Changzhou, 213300, China; School of Automotive and Rail Transit, Nanjing Institute of Technology, Jiangsu, Nanjing, 211167, China","Wang Y., College of Civil Aviation, Nanjing University of Aeronautics and Astronautics, Jiangsu, Nanjing, 210016, China; Chen G., College of General Aviation and Flight, Nanjing University of Aeronautics and Astronautics, Jiangsu, Changzhou, 213300, China; He C., College of Civil Aviation, Nanjing University of Aeronautics and Astronautics, Jiangsu, Nanjing, 210016, China; Hao T., School of Automotive and Rail Transit, Nanjing Institute of Technology, Jiangsu, Nanjing, 211167, China; Ma J., College of Civil Aviation, Nanjing University of Aeronautics and Astronautics, Jiangsu, Nanjing, 210016, China","Wear particle analysis is an effective method for equipment wear fault diagnosis and prediction. In order to improve the automation and intelligence degree of wear particle detection, a target detection algorithm based on improved YOLOv4 was proposed to automatically extract and identify target particles from wear particle images with complex backgrounds. It overcame the error caused by the traditional method of image segmentation in the face of multi-wear particle images, and was applied to wear particle image recognition in aeroengine Scanning Electron Microscope (SEM). Firstly, VoVNetv2-39 was used to replace YOLOv4’s original backbone network CSPDarknet53. Its unique improved OSA module guaranteed the gradient and direction propagation without interference, and maintained channel information while owning deeper network depth, thus improved the network performance. Secondly, BiFPN feature pyramid structure was introduced to connect with the new backbone. BiFPN could not only completed the feature extraction from top to bottom, but also achieved the weighted fusion of features with different resolutions from bottom to top. At the same time, BiFPN increased the horizontal connection between the input and output of the same level, enriching the semantic information of the feature map. Finally, all 3×3 standard convolutions in the model were adjusted by depthwise separable convolution, in order to build a lightweight network. The improved YOLOv4’s network architecture for image target detection consist of three parts. The first part was the new backbone feature extraction network —VoVNetv2-39. It preliminarily extracted the feature of wear particle images in SEM with the input size of 416×416×3. Three initial effective feature layers were obtained by convolution, combination and addition. The second part was the strengthen feature extraction network —SPP and BiFPN. The first feature layer was passed into BiFPN after OSA Module Stage3 and a convolution block. The second feature layer was passed into BiFPN after OSA Module Stage4 and a convolution block. The third feature layer was passed into Spatial Pyramid Pooling (SPP) after OSA module Stage5 and three convolution blocks. SPP used pooling cores with different scales of 13×13, 9×9, 5×5 and 1×1 for maximum pooling and then merged. The merged results were passed into BiFPN which realized feature fusion of the three initial effective feature layers to extract more effective features. The third part was the prediction network-YOLO Head. The feature map was divided into three kinds of grids with different numbers of 52×52, 26×26 and 13×13. The prior frames of different sizes were generated on each grid. The classification, confidence and coordinates of the wear particles in SEM images were predicted by the prior frames, and then the prediction results were output. In the experimental stage, firstly, wear particle images in SEM with typical wear characteristics were selected. The data set was expanded by image data enhancement method. The training set, the validation set and the test set were divided to form the self-built SEM wear particle image set. Secondly, the size of all images was unified as 416×416×3, and then these images were input into the improved YOLOv4’s network. Thirdly, the transfer learning was used to solve the problem of the small number of wear particle images in SEM. The IamgeNet data set was used to pre-train the new model, and the freezing idea was used to accelerate the model training process and obtain the initial weight and deviation of the model. The training parameters were set, and the self-built wear particle image set in SEM was used to start freezing training. In this period, only some parameters of the network were fine-tuned. The unfreezing preparing training began after the freezing training. In this period, the weight and deviation of the model could be updated. Then, the output mAP values were compared to obtain the optimal model. Finally, the actual wear particle images in aeroengine SEM were used to verify. The results showed that, compared with the original YOLOv4 network, the number of the new network’s parameters was significantly reduced and the recognition speed was improved by 51.1% on the premise of ensuring accuracy. It could meet the detection requirements of fast, simple and high precision of actual SEM wear particle images, and had the potential engineering application value. © 2023 Science Press. All rights reserved.","aeroengine; deep learning; image recognition; Scanning Electron Microscope (SEM); wear particle; YOLOv4","Aircraft engines; Bismuth compounds; Convolutional neural networks; Deep learning; Extraction; Feature extraction; Image enhancement; Image recognition; Image segmentation; Network architecture; Particle size analysis; Scanning electron microscopy; Semantics; Wear of materials; Aero-engine; Deep learning; Feature map; Features extraction; Scanning electron microscope; Scanning electrons; Spatial pyramids; Wear particles; Wear particles images; YOLOv4; Convolution","Article","Final","","Scopus"
"","","","8th International Workshop on Advanced Computational Intelligence and Intelligent Informatics, IWACIII 2023","2024","Communications in Computer and Information Science","1931 CCIS","","","","","708","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176959694&partnerID=40&md5=78bf5aaa655dd41a735b9dc0115460d4","","","The proceedings contain 57 papers. The special focus in this conference is on Advanced Computational Intelligence and Intelligent Informatics. The topics include: Construction and Research of Pediatric Pulmonary Disease Diagnosis and Treatment Experience Knowledge Graph Based on Professor Wang Lie’s Experience; A Novel SEIAISRD Model to Evaluate Pandemic Spreading; keyword-based Research Field Discovery with External Knowledge Aware Hierarchical Co-clustering; an End-to-End Intent Recognition Method for Combat Drone Swarm; an Attention Detection System Based on Gaze Estimation Using Self-supervised Learning; effects of Pseudo Labels in Pose Estimation Models Using Semi-supervised Learning; sequential Masking Imitation Learning for Handling Causal Confusion in Autonomous Driving; proposal of Timestamp-Based Dynamic Context Features for Music Recommendation; method to Control Embedded Representation of Piece of Music in Playlists; Reducing Communication Consumption in Collaborative Visual SLAM with Map Point Selection and Efficient Data Compression; Design and Implementation of ANFIS on FPGA and Verification with Class Classification Problem; beacon Localization Method Based on Flower Pollination-Fireworks Algorithm; parameter Identification for Fictitious Play Algorithm in Repeated Games; an Improved Hypervolume-Based Evolutionary Algorithm for Many-Objective Optimization; reinforcement Learning-Based Policy Selection of Multi-sensor Cyber Physical Systems Under DoS Attacks; A UAV Penetration Method Based on the Improved A* Algorithm; Hybrid D-DEPSO for Multi-objective Task Assignment in Hospital Inspection; an Analysis of the Generalized Tit-for-Tat Strategy Within the Framework of Memory-One Strategies; stochastic Resource Allocation with Time Windows; optimal Information Fusion Descriptor Fractional Order Kalman Filter; multi-sensor Data Fusion Algorithm for Indoor Fire Detection Based on Ensemble Learning; research on Water Surface Environment Perception Method Based on Visual and Positional Information Fusion; Novel Fault Diagnosis Method Integrating D-L2-FDA and AdaBoost; structural Health Monitoring of Similar Gantry Crane Based on Federated Learning Algorithm.","","","Conference review","Final","","Scopus"
"Tian J.; Xie G.; Zhang X.; Nie X.; Li L.; Zhang S.","Tian, Juan (58303453600); Xie, Gang (7202981334); Zhang, Xiaohong (56159268600); Nie, Xiaoyin (57212033758); Li, Linjuan (58304146700); Zhang, Shun (57770788800)","58303453600; 7202981334; 56159268600; 57212033758; 58304146700; 57770788800","Fault Diagnosis with Robustness and Lightweight Synergy under Noisy Environment","2023","IEEE Sensors Journal","23","14","","16351","16362","11","0","10.1109/JSEN.2023.3279882","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161042137&doi=10.1109%2fJSEN.2023.3279882&partnerID=40&md5=dcb8571203475e52bba6edb084d2f785","Taiyuan University of Science and Technology, School of Electronic and Information Engineering, Taiyuan, 030024, China; Shanxi Key Laboratory of Advanced Control and Equipment Intelligence, Taiyuan, 030024, China; Taiyuan University of Science and Technology, School of Economics and Management, Taiyuan, 030024, China","Tian J., Taiyuan University of Science and Technology, School of Electronic and Information Engineering, Taiyuan, 030024, China, Shanxi Key Laboratory of Advanced Control and Equipment Intelligence, Taiyuan, 030024, China; Xie G., Taiyuan University of Science and Technology, School of Electronic and Information Engineering, Taiyuan, 030024, China, Shanxi Key Laboratory of Advanced Control and Equipment Intelligence, Taiyuan, 030024, China; Zhang X., Shanxi Key Laboratory of Advanced Control and Equipment Intelligence, Taiyuan, 030024, China, Taiyuan University of Science and Technology, School of Economics and Management, Taiyuan, 030024, China; Nie X., Taiyuan University of Science and Technology, School of Electronic and Information Engineering, Taiyuan, 030024, China, Shanxi Key Laboratory of Advanced Control and Equipment Intelligence, Taiyuan, 030024, China; Li L., Taiyuan University of Science and Technology, School of Electronic and Information Engineering, Taiyuan, 030024, China, Shanxi Key Laboratory of Advanced Control and Equipment Intelligence, Taiyuan, 030024, China; Zhang S., Taiyuan University of Science and Technology, School of Electronic and Information Engineering, Taiyuan, 030024, China, Shanxi Key Laboratory of Advanced Control and Equipment Intelligence, Taiyuan, 030024, China","Over the years, deep learning-based fault diagnosis approaches have made remarkable progress. However, the diagnosis accuracy has been on a steady decline because of noise interference in industrial applications. In addition, the accuracy improvement is often accompanied by an increase in computational cost, which makes it difficult to achieve engineering-embedded deployment. To find the balance between robustness and complexity, a new intelligent fault diagnosis framework named lightweight multiscale dilated causal convolutional attention network (Li-MDCCAN) is proposed. Based on dual fusion mechanisms, the proposed network realizes high robustness by adopting multiscale strategy and attention modules, which explores multiscale and multidimensional features along three parallel paths. Furthermore, lightweight convolutional blocks are introduced to reduce the network's complexity. The performance of Li-MDCCAN is verified with six different datasets and compared with those of four advanced fault diagnosis networks. The experimental results indicate the effectiveness and superiority of Li-MDCCAN in increasing robustness and decreasing complexity. Moreover, prior sensor placement is discussed to guide applications under limited engineering conditions. © 2001-2012 IEEE.","Antinoise; intelligent fault diagnosis; lightweight; multiscale and multidimensional feature extraction; sensor placement","Complex networks; Convolution; Cost engineering; Deep learning; Fault detection; Antinoise; Faults diagnosis; Features extraction; Intelligent fault diagnosis; Lightweight; Multi dimensional; Multi-scale and multi-dimensional feature extraction; Multi-scales; Noisy environment; Sensor placement; Failure analysis","Article","Final","","Scopus"
"Ji M.; Peng G.; Li S.; Huang W.; Li W.; Li Z.","Ji, Mengyu (57218476355); Peng, Gaoliang (8880273800); Li, Sijue (57211920585); Huang, Wentao (57211362278); Li, Weihua (36091496800); Li, Zhixiong (57199421651)","57218476355; 8880273800; 57211920585; 57211362278; 36091496800; 57199421651","Iterative-AMC: a novel model compression and structure optimization method in mechanical system safety monitoring","2023","Structural Health Monitoring","22","6","","3723","3741","18","0","10.1177/14759217231155486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150496574&doi=10.1177%2f14759217231155486&partnerID=40&md5=a62bc423fa3b005624eaac4fb107ac6a","State Key Laboratory of Robotic Technology and System, Harbin Institute of Technology, Harbin, China; School of Mechatronics Engineering, Harbin Institute of Technology, Harbin, China; School of Mechanical, Materials, Mechatronic and Biomedical Engineering, University of Wollongong, Wollongong, NSW, Australia; Yonsei Frontier Lab at Yonsei University, Seoul, South Korea","Ji M., State Key Laboratory of Robotic Technology and System, Harbin Institute of Technology, Harbin, China; Peng G., State Key Laboratory of Robotic Technology and System, Harbin Institute of Technology, Harbin, China; Li S., State Key Laboratory of Robotic Technology and System, Harbin Institute of Technology, Harbin, China; Huang W., School of Mechatronics Engineering, Harbin Institute of Technology, Harbin, China; Li W., School of Mechanical, Materials, Mechatronic and Biomedical Engineering, University of Wollongong, Wollongong, NSW, Australia; Li Z., Yonsei Frontier Lab at Yonsei University, Seoul, South Korea","With the rapid development of artificial intelligence, various fault diagnosis methods based on the deep neural networks have made great advances in mechanical system safety monitoring. To get the high accuracy for the fault diagnosis, researchers tend to adopt the deep network layers and amount of neurons or kernels in each layer. This results in a large redundancy and the structure uncertainty of the fault diagnosis networks. Moreover, it is hard to deploy these networks on the embedded platforms because of the large scales of the network parameters. This brings huge challenges to the practical application of the intelligent diagnosis algorithms. To solve the above problems, an iterative automatic machine compression method, named Iterative-AMC, is proposed in this paper. The proposed method aims to automatically compress and optimize the structure of the large-scale neural networks. Experiments are carried out based on two test benches. With the proposed Iterative-AMC method, the problems of the parameter redundancy and the structure uncertainty can be addressed. The scale of the original network can be greatly compressed, and the compressed fault diagnosis network is successfully deployed on a small-scale FPGA chip. © The Author(s) 2023.","Bearing fault diagnosis; FPGA; network pruning; neural network compression; reinforcement learning; the deep deterministic policy gradient","Deep neural networks; Fault detection; Field programmable gate arrays (FPGA); Iterative methods; Network layers; Redundancy; Reinforcement learning; Structural optimization; Bearing fault diagnosis; Deterministics; Network compression; Network pruning; Neural network compression; Neural-networks; Reinforcement learnings; The deep deterministic policy gradient; Failure analysis","Article","Final","","Scopus"
"Zhong H.; Yu S.; Trinh H.; Yuan R.; Lv Y.; Wang Y.","Zhong, Hongyu (57610244200); Yu, Samson (58726228300); Trinh, Hieu (58774994300); Yuan, Rui (56481084800); Lv, Yong (36989875000); Wang, Yanan (57222609782)","57610244200; 58726228300; 58774994300; 56481084800; 36989875000; 57222609782","A lightweight GAN-based fault diagnosis method based on knowledge distillation and deep transfer learning","2024","Measurement Science and Technology","35","3","036103","","","","0","10.1088/1361-6501/ad0fd2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180376068&doi=10.1088%2f1361-6501%2fad0fd2&partnerID=40&md5=9ebce5ace77072edb528131b9f7efa51","Key Laboratory of Metallurgical Equipment and Control Technology, Ministry of Education, Wuhan University of Science and Technology, Wuhan, 430081, China; Hubei Key Laboratory of Mechanical Transmission and Manufacturing Engineering, Wuhan University of Science and Technology, Wuhan, 430081, China; School of Engineering, Deakin University, Geelong, 3216, VIC, Australia","Zhong H., Key Laboratory of Metallurgical Equipment and Control Technology, Ministry of Education, Wuhan University of Science and Technology, Wuhan, 430081, China, Hubei Key Laboratory of Mechanical Transmission and Manufacturing Engineering, Wuhan University of Science and Technology, Wuhan, 430081, China, School of Engineering, Deakin University, Geelong, 3216, VIC, Australia; Yu S., School of Engineering, Deakin University, Geelong, 3216, VIC, Australia; Trinh H., School of Engineering, Deakin University, Geelong, 3216, VIC, Australia; Yuan R., Key Laboratory of Metallurgical Equipment and Control Technology, Ministry of Education, Wuhan University of Science and Technology, Wuhan, 430081, China, Hubei Key Laboratory of Mechanical Transmission and Manufacturing Engineering, Wuhan University of Science and Technology, Wuhan, 430081, China; Lv Y., Key Laboratory of Metallurgical Equipment and Control Technology, Ministry of Education, Wuhan University of Science and Technology, Wuhan, 430081, China, Hubei Key Laboratory of Mechanical Transmission and Manufacturing Engineering, Wuhan University of Science and Technology, Wuhan, 430081, China; Wang Y., School of Engineering, Deakin University, Geelong, 3216, VIC, Australia","Generative adversarial networks (GANs) have shown promise in the field of small sample fault diagnosis. However, it is worth noting that generating synthetic data using GANs is time-consuming, and synthetic data cannot fully replace real data. To expedite the GAN-based fault diagnostics process, this paper proposes a hybrid lightweight method for compressing GAN parameters. First, three modules are constructed: a teacher generator, a teacher discriminator, and a student generator, based on the knowledge distillation GAN (KD-GAN) approach. The distillation operation is applied to both teacher generator and student generator, while adversarial training is conducted for the teacher generator and the teacher discriminator. Furthermore, a joint loss function is proposed to update the parameters of the student generator by combining distillation loss and adversarial loss. Additionally, the proposed KD-GAN method is combined with deep transfer learning (DTL) and leverages real data to enhance the diagnostic model’s performance. Two numerical experiments are performed to demonstrate that the proposed KD-GAN-DTL method outperforms other GAN-based fault diagnosis methods in terms of computational time and diagnostic accuracy. © 2023 IOP Publishing Ltd.","deep transfer learning; fault diagnosis; generative adversarial network; knowledge distillation","Deep learning; Distillation; Fault detection; Generative adversarial networks; Learning systems; Numerical methods; Personnel training; Students; Deep transfer learning; Fault diagnosis method; Faults diagnosis; Faults diagnostics; Knowledge distillation; Network-based; Small samples; Synthetic data; Teachers'; Transfer learning; Failure analysis","Article","Final","","Scopus"
"Wang P.; Xiong H.; He H.","Wang, Pengcheng (58117241600); Xiong, Hui (49362367900); He, Haoxiang (57823924700)","58117241600; 49362367900; 57823924700","Bearing fault diagnosis under various conditions using an incremental learning-based multi-task shared classifier","2023","Knowledge-Based Systems","266","","110395","","","","5","10.1016/j.knosys.2023.110395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148869307&doi=10.1016%2fj.knosys.2023.110395&partnerID=40&md5=3903cf452d5e55c8c2739829d8f92a1b","School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100081, China","Wang P., School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100081, China; Xiong H., School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100081, China; He H., School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100081, China","Rolling bearings are susceptible to failure because of their complex and severe working environments. Deep learning-driven intelligent fault diagnosis methods have been widely introduced and exhibit satisfactory performance. However, bearing fault diagnosis during various working conditions is challenging; catastrophic forgetting occurs when test data are gathered under different conditions. In this paper, we develop an incremental learning-based multi-task shared classifier (IL-MTSC) for bearing fault diagnosis under various conditions. We use a one-dimensional convolutional neural network model as the principal framework. Then, we create a knowledge distillation method that allows the model to retain learned knowledge. Finally, we use a shared classifier that operates under various scenarios to establish a unified structure. The method can continuously learn and preserve knowledge when diagnoses bearing faults under various working conditions. The results show that IL-MTSC optimally diagnoses bearing marks under various conditions. © 2023 Elsevier B.V.","Bearing fault diagnosis; Incremental learning; Knowledge distillation; Multi-task shared classifier; Various working conditions","Deep learning; Failure analysis; Fault detection; Neural network models; Roller bearings; Bearing fault diagnosis; Condition; Incremental learning; Intelligent fault diagnosis; Knowledge distillation; Multi tasks; Multi-task shared classifier; Rolling bearings; Various working condition; Working environment; Distillation","Article","Final","","Scopus"
